"ROUTE_NUMBER","PUBLIC_ROUTE_DESCRIPTION","DIRECTION","ROUTE_HEADING","PUBLIC_DIRECTION_DESCRIPTION"
2,FX2-Division,0,E,To Gresham
2,FX2-Division,1,W,To Portland City Center
