"SERVICE_DATE","VEHICLE_NUMBER","ROUTE_NUMBER","DIRECTION","TRIP_NUMBER","TRAIN","LOCATION_ID","PUBLIC_LOCATION_DESCRIPTION","ARRIVE_TIME","LEAVE_TIME","ONS"
2023-06-15 00:00:00.000,"04528",2,1,1800,248,1387,SE Division & 130th Ave,73697,73697,0
2023-06-15 00:00:00.000,"04510",2,0,1700,260,1389,SE Division & 136th Ave,72622,72653,2
2023-06-15 00:00:00.000,"04514",2,0,1710,262,1389,SE Division & 136th Ave,73381,73404,0
2023-06-15 00:00:00.000,"04525",2,0,1720,264,1389,SE Division & 136th Ave,74373,74397,6
2023-06-15 00:00:00.000,"04520",2,0,1730,234,1389,SE Division & 136th Ave,74634,74655,3
2023-06-15 00:00:00.000,"04529",2,0,1740,266,1389,SE Division & 136th Ave,75446,75446,0
2023-06-15 00:00:00.000,"04507",2,0,1750,238,1389,SE Division & 136th Ave,76162,76212,1
2023-06-15 00:00:00.000,"04531",2,0,1760,240,1389,SE Division & 136th Ave,77894,77915,0
2023-06-15 00:00:00.000,"04506",2,0,1770,242,1389,SE Division & 136th Ave,77990,77990,0
2023-06-15 00:00:00.000,"04522",2,0,1780,244,1389,SE Division & 136th Ave,78294,78314,0
2023-06-15 00:00:00.000,"04502",2,0,1790,246,1389,SE Division & 136th Ave,79526,79550,0
2023-06-15 00:00:00.000,"04528",2,0,1800,248,1389,SE Division & 136th Ave,79657,79657,0
2023-06-15 00:00:00.000,"04510",2,1,1700,260,1396,SE Division & 142nd Ave,65968,65968,0
2023-06-15 00:00:00.000,"04514",2,1,1710,262,1396,SE Division & 142nd Ave,66730,66730,0
2023-06-15 00:00:00.000,"04525",2,1,1720,264,1396,SE Division & 142nd Ave,67546,67609,2
2023-06-15 00:00:00.000,"04520",2,1,1730,234,1396,SE Division & 142nd Ave,68454,68474,0
2023-06-15 00:00:00.000,"04529",2,1,1740,266,1396,SE Division & 142nd Ave,69034,69054,1
2023-06-15 00:00:00.000,"04507",2,1,1750,238,1396,SE Division & 142nd Ave,69731,69751,3
2023-06-15 00:00:00.000,"04531",2,1,1760,240,1396,SE Division & 142nd Ave,70477,70477,0
2023-06-15 00:00:00.000,"04506",2,1,1770,242,1396,SE Division & 142nd Ave,71295,71295,0
2023-06-15 00:00:00.000,"04522",2,1,1780,244,1396,SE Division & 142nd Ave,72008,72035,1
2023-06-15 00:00:00.000,"04502",2,1,1790,246,1396,SE Division & 142nd Ave,72875,73025,4
2023-06-15 00:00:00.000,"04528",2,1,1800,248,1396,SE Division & 142nd Ave,73499,73499,0
2023-06-15 00:00:00.000,"04510",2,0,1700,260,1409,SE Division & 157th Ave,72883,72902,0
2023-06-15 00:00:00.000,"04514",2,0,1710,262,1409,SE Division & 157th Ave,73615,73615,0
2023-06-15 00:00:00.000,"04525",2,0,1720,264,1409,SE Division & 157th Ave,74600,74600,0
2023-06-15 00:00:00.000,"04520",2,0,1730,234,1409,SE Division & 157th Ave,74888,74888,0
2023-06-15 00:00:00.000,"04529",2,0,1740,266,1409,SE Division & 157th Ave,75638,75638,0
2023-06-15 00:00:00.000,"04507",2,0,1750,238,1409,SE Division & 157th Ave,76373,76373,0
2023-06-15 00:00:00.000,"04531",2,0,1760,240,1409,SE Division & 157th Ave,78154,78154,0
2023-06-15 00:00:00.000,"04506",2,0,1770,242,1409,SE Division & 157th Ave,78215,78215,0
2023-06-15 00:00:00.000,"04522",2,0,1780,244,1409,SE Division & 157th Ave,78471,78471,0
2023-06-15 00:00:00.000,"04502",2,0,1790,246,1409,SE Division & 157th Ave,79752,79772,0
2023-06-15 00:00:00.000,"04528",2,0,1800,248,1409,SE Division & 157th Ave,79827,79845,0
2023-06-15 00:00:00.000,"04510",2,1,1700,260,1416,SE Division & 162nd Ave,65689,65730,3
2023-06-15 00:00:00.000,"04514",2,1,1710,262,1416,SE Division & 162nd Ave,66538,66569,2
2023-06-15 00:00:00.000,"04525",2,1,1720,264,1416,SE Division & 162nd Ave,67322,67373,6
2023-06-15 00:00:00.000,"04520",2,1,1730,234,1416,SE Division & 162nd Ave,68257,68257,0
2023-06-15 00:00:00.000,"04529",2,1,1740,266,1416,SE Division & 162nd Ave,68760,68791,3
2023-06-15 00:00:00.000,"04507",2,1,1750,238,1416,SE Division & 162nd Ave,69416,69530,5
2023-06-15 00:00:00.000,"04531",2,1,1760,240,1416,SE Division & 162nd Ave,70286,70301,1
2023-06-15 00:00:00.000,"04506",2,1,1770,242,1416,SE Division & 162nd Ave,71031,71064,0
2023-06-15 00:00:00.000,"04522",2,1,1780,244,1416,SE Division & 162nd Ave,71803,71833,1
2023-06-15 00:00:00.000,"04502",2,1,1790,246,1416,SE Division & 162nd Ave,72626,72658,2
2023-06-15 00:00:00.000,"04528",2,1,1800,248,1416,SE Division & 162nd Ave,73295,73326,4
2023-06-15 00:00:00.000,"04510",2,0,1700,260,1422,SE Division & 174th Ave,73041,73064,1
2023-06-15 00:00:00.000,"04514",2,0,1710,262,1422,SE Division & 174th Ave,73781,73781,0
2023-06-15 00:00:00.000,"04525",2,0,1720,264,1422,SE Division & 174th Ave,74739,74763,0
2023-06-15 00:00:00.000,"04520",2,0,1730,234,1422,SE Division & 174th Ave,75027,75027,0
2023-06-15 00:00:00.000,"04529",2,0,1740,266,1422,SE Division & 174th Ave,75786,75786,0
2023-06-15 00:00:00.000,"04507",2,0,1750,238,1422,SE Division & 174th Ave,76493,76493,0
2023-06-15 00:00:00.000,"04531",2,0,1760,240,1422,SE Division & 174th Ave,78351,78375,1
2023-06-15 00:00:00.000,"04506",2,0,1770,242,1422,SE Division & 174th Ave,78378,78408,0
2023-06-15 00:00:00.000,"04522",2,0,1780,244,1422,SE Division & 174th Ave,78594,78594,0
2023-06-15 00:00:00.000,"04502",2,0,1790,246,1422,SE Division & 174th Ave,79943,79966,0
2023-06-15 00:00:00.000,"04528",2,0,1800,248,1422,SE Division & 174th Ave,79988,80015,0
2023-06-15 00:00:00.000,"04510",2,0,1700,260,1435,SE Division & 20th Ave,71128,71128,0
2023-06-15 00:00:00.000,"04525",2,0,1720,264,1435,SE Division & 20th Ave,73044,73067,1
2023-06-15 00:00:00.000,"04520",2,0,1730,234,1435,SE Division & 20th Ave,73308,73329,1
2023-06-15 00:00:00.000,"04529",2,0,1740,266,1435,SE Division & 20th Ave,74121,74121,0
2023-06-15 00:00:00.000,"04507",2,0,1750,238,1435,SE Division & 20th Ave,74814,74838,1
2023-06-15 00:00:00.000,"04531",2,0,1760,240,1435,SE Division & 20th Ave,76450,76481,1
2023-06-15 00:00:00.000,"04522",2,0,1780,244,1435,SE Division & 20th Ave,76977,76977,0
2023-06-15 00:00:00.000,"04502",2,0,1790,246,1435,SE Division & 20th Ave,77993,77993,0
2023-06-15 00:00:00.000,"04528",2,0,1800,248,1435,SE Division & 20th Ave,78342,78342,0
2023-06-15 00:00:00.000,"04510",2,0,1700,260,1441,SE Division & 26th Ave,71190,71209,1
2023-06-15 00:00:00.000,"04525",2,0,1720,264,1441,SE Division & 26th Ave,73123,73123,0
2023-06-15 00:00:00.000,"04520",2,0,1730,234,1441,SE Division & 26th Ave,73393,73393,0
2023-06-15 00:00:00.000,"04529",2,0,1740,266,1441,SE Division & 26th Ave,74192,74192,0
2023-06-15 00:00:00.000,"04507",2,0,1750,238,1441,SE Division & 26th Ave,74945,74945,0
2023-06-15 00:00:00.000,"04531",2,0,1760,240,1441,SE Division & 26th Ave,76578,76600,0
2023-06-15 00:00:00.000,"04506",2,0,1770,242,1441,SE Division & 26th Ave,76608,76608,0
2023-06-15 00:00:00.000,"04522",2,0,1780,244,1441,SE Division & 26th Ave,77034,77034,0
2023-06-15 00:00:00.000,"04502",2,0,1790,246,1441,SE Division & 26th Ave,78055,78076,0
2023-06-15 00:00:00.000,"04528",2,0,1800,248,1441,SE Division & 26th Ave,78389,78408,0
2023-06-15 00:00:00.000,"04510",2,1,1700,260,1442,SE Division & 26th Ave,67888,67888,0
2023-06-15 00:00:00.000,"04514",2,1,1710,262,1442,SE Division & 26th Ave,68450,68450,0
2023-06-15 00:00:00.000,"04525",2,1,1720,264,1442,SE Division & 26th Ave,69162,69181,1
2023-06-15 00:00:00.000,"04520",2,1,1730,234,1442,SE Division & 26th Ave,69865,69865,0
2023-06-15 00:00:00.000,"04529",2,1,1740,266,1442,SE Division & 26th Ave,70556,70556,0
2023-06-15 00:00:00.000,"04507",2,1,1750,238,1442,SE Division & 26th Ave,71303,71322,0
2023-06-15 00:00:00.000,"04531",2,1,1760,240,1442,SE Division & 26th Ave,72141,72141,0
2023-06-15 00:00:00.000,"04506",2,1,1770,242,1442,SE Division & 26th Ave,72780,72810,0
2023-06-15 00:00:00.000,"04522",2,1,1780,244,1442,SE Division & 26th Ave,73530,73556,0
2023-06-15 00:00:00.000,"04502",2,1,1790,246,1442,SE Division & 26th Ave,74348,74372,0
2023-06-15 00:00:00.000,"04528",2,1,1800,248,1442,SE Division & 26th Ave,74949,74973,1
2023-06-15 00:00:00.000,"04510",2,0,1700,260,1451,SE Division & 34th Ave,71337,71357,0
2023-06-15 00:00:00.000,"04525",2,0,1720,264,1451,SE Division & 34th Ave,73241,73263,0
